#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
38003	33940	42595	60093	67556	Dmel_CG11327	Dmel_CG6375	CG11327	pit	Dmel\CG11327	CG6375|DmRH15|Dmel\CG6375|Hel93F	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651459	42595	42662	67556	67616	Dmel_CG6375	Dmel_CG6937	pit	CG6937	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG6937	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651477	42595	32320	67556	58697	Dmel_CG6375	Dmel_CG2691	pit	CG2691	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG2691	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651501	42595	37036	67556	62721	Dmel_CG6375	Dmel_CG5033	pit	CG5033	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG5033|EG:52C10.1	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652224	38515	42595	63993	67556	Dmel_CG1258	Dmel_CG6375	pav	pit	0934/13|0973/08|2A12|2A12MEL|CG1258|DmKLP1/pav|DmMKLP1|DmPAV|Dmel\CG1258|KIF 23|KIF23|Mklp1|PAV-KLP|PAV-MKLP|PAV/KLP|Pav KLP|PavKLP|anon-EST:fe2A12|anon2A12|group D	CG6375|DmRH15|Dmel\CG6375|Hel93F	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652454	42595	42060	67556	67100	Dmel_CG6375	Dmel_CG3983	pit	Ns1	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG3983|Dmel\CG3983|dmNS1	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652510	42595	31818	67556	58276	Dmel_CG6375	Dmel_CG10648	pit	Rbm13	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG10648|Dmel\CG10648	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652595	42595	40870	67556	66065	Dmel_CG6375	Dmel_CG1234	pit	CG1234	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG1234	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
653189	42595	36989	67556	62677	Dmel_CG6375	Dmel_CG6501	pit	Ns2	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG6501|Dmel\CG6501|Ngp|Ngp1|dmNS2	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
653338	42595	42633	67556	67589	Dmel_CG6375	Dmel_CG13849	pit	Nop56	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG13849|DmNop56|Dmel\CG13849|Dnop56|FBgn0038964	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
654470	42595	42057	67556	67097	Dmel_CG6375	Dmel_CG3995	pit	CG3995	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG3995	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655004	42595	34625	67556	60676	Dmel_CG6375	Dmel_CG5317	pit	RpL7-like	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG5317|Dmel\CG5317	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655116	44087	42595	68823	67556	Dmel_CG2173	Dmel_CG6375	Rs1	pit	153844_at|BcDNA:GM05306|CG2173|DmRH21|Dmel\CG2173|Drs1|l(2)k09514	CG6375|DmRH15|Dmel\CG6375|Hel93F	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
1105065	41860	42595	66923	67556	Dmel_CG6226	Dmel_CG6375	FK506-bp1	pit	CG6226|Dmel\CG6226|FK506bp1|FKBP39|IFK506-bp1	CG6375|DmRH15|Dmel\CG6375|Hel93F	Affinity Capture-MS	physical	Edlich-Muth C (2015)	25813344	7227	7227	High Throughput	-	-	-	Table S3	-	BIOGRID
2321284	40201	42595	65467	67556	Dmel_CG6975	Dmel_CG6375	gig	pit	6975|C1|CG6975|Dmel\CG6975|Gigas|ME 109|TSC2|Tsc2/gig|dTSC2|l(3)109	CG6375|DmRH15|Dmel\CG6375|Hel93F	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2323043	41709	42595	66786	67556	Dmel_CG3143	Dmel_CG6375	foxo	pit	3143|Afx|CG3143|Dfoxo|DmQ95V5|Dmel\CG3143|FKHR|Q95V55|anon-WO0118547.374|fd88A	CG6375|DmRH15|Dmel\CG6375|Hel93F	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
3683127	59142	42595	72814	67556	Dmel_CG18746	Dmel_CG6375	CG18746	pit	Dmel\CG18746	CG6375|DmRH15|Dmel\CG6375|Hel93F	Affinity Capture-MS	physical	Lee KT (2024)	38270169	7227	7227	High Throughput	-	-	-	Affinity capture MS was carried out to identify high confident protein interactors with a FDR of less than or equal to 0.01 and a minimum spectral count of 6	-	BIOGRID

